page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embedding
1714.0,"Для пользователя с ролью ""Участник"" не отображается информация о типе лицензии приложений проекта.Для данного пользователя отображается только информация о наличии или отсутствии лицензии, привязанной к приложению.",214,26,53.5,"[ 0.00984006 -0.0382438  -0.01959769 ...  0.00158238 -0.03953858
  0.0013081 ]"
1718.0,"""Лицензия отсутствует"" – статус, который означает, что у приложения нет лицензии, срок действия лицензии истек, либо лицензия не оплачена.",138,19,34.5,"[ 0.00298278 -0.03862726 -0.02566976 ... -0.03569748 -0.0145514
 -0.01549327]"
1721.0,"Чтобы просмотреть список проектов, в которых принимается участие, и занимаемую в них роль, ответить на приглашения либо покинуть проект, необходимо в шапке страницы личного кабинета (далее – ЛК) нажать на аккаунт пользователя и выбрать опцию ""Мои проекты"".",256,37,64.0,"[ 0.00142648 -0.01954536 -0.01998588 ... -0.0255503  -0.01543519
  0.00188992]"
1725.0,"После чего отобразится приветственное окно с обзором данного раздела, для ознакомления с которым следует нажимать на кнопку image.",130,18,32.5,"[ 1.0205709e-02 -4.3905113e-02  1.7675602e-05 ... -6.4086710e-04
 -2.8801274e-02  1.8575659e-02]"
1732.0,"В данном разделе будет представлен список проектов пользователя, а также указана занимаемая роль в каждом проекте.Чтобы покинуть проект, необходимо навести курсор на строку с проектом и нажать на ""Покинуть проект"".",214,30,53.5,"[ 0.03052467 -0.0208942  -0.04793888 ... -0.00567656 -0.01991737
  0.00061224]"
1736.0,"Если проект покидает единственный администратор/владелец, тогда будет предложено передать права на проект иному пользователю.Для этого вводится наименование проекта и выбирается новый владелец проекта из выпадающего списка.",223,26,55.75,"[ 0.01192838 -0.01426933 -0.03188577 ... -0.00629044 -0.01439475
 -0.0063459 ]"
1741.0,"Если пользователя пригласят для совместной работы над проектом, на адрес электронной почты, указанный в приглашении, придет письмо:",131,17,32.75,"[-0.01054793 -0.03087956  0.00100905 ...  0.01010646 -0.02053112
 -0.00678623]"
1745.0,"Для принятия приглашения пользователю необходимо зарегистрировать в ЛК, после нажатия на кнопку ""Присоединиться"" или перехода по ссылке в письме откроется форма для регистрации нового пользователя.",197,25,49.25,"[-0.00526032 -0.02442073 -0.00395012 ... -0.02384502 -0.00780113
  0.01599114]"
1747.0,"Если пользователь уже зарегистрирован в ЛК, ему необходимо авторизовааться в ЛК.Приглашение в проект будет отображаться в блоке ""Приглашения"".",142,18,35.5,"[-0.00363791 -0.00862596 -0.0120624  ... -0.00591116 -0.01740308
  0.00104787]"
1749.0,"В строке приглашения отображается наименование проекта, пользователь, пригласивший в проект и предлагаемая роль в проекте.Пользователь может принять или отклонить приглашение нажатием на соответствующие элементы.",212,24,53.0,"[ 0.01217829 -0.03882989 -0.03880092 ... -0.00087185 -0.01855696
 -0.00550336]"
1754.0,"Чтобы настроить совместную работу над проектами с другими пользователями, а также ознакомиться со списком всех участников проектов, в которых состоит пользователь ЛК необходимо в шапке страницы ЛК нажать на аккаунт пользователя и выбрать опцию ""Проекты и участники"".",266,37,66.5,"[ 0.01877398 -0.01566871 -0.02737357 ... -0.01995857  0.00028748
 -0.00272168]"
1762.0,"После чего откроется форма добавления нового пользователя, в которой указывается адрес электронной почты приглашаемого участника и выбирается проект для приглашения.Используя переключатель, имеется возможность пригласить пользователя во все проекты данного ЛК.После чего отобразится поле для выбора роли в проекте, где посредством выпадающего списка определяется роль: ""Участник"" или ""Администратор"".",400,47,100.0,"[ 0.02213283 -0.02881288 -0.01318508 ... -0.02299899 -0.00821204
  0.00139385]"
1769.0,"Под списком участников проекта, в которое пригашен пользователь, отобразится блок ""Список ожидания"".При наведении на строку с приглашением можно отменить приглашение нажатием на ""Отозвать"".Для повторной отправки приглашения на указанный адрес электронной почты следует нажать на ""Отправить повторно"".",300,36,75.0,"[ 0.01458629 -0.03209916 -0.01560904 ... -0.00376873 -0.0170226
 -0.01309786]"
1773.0,"Для создания, редактирования проектов и приложений, а также непосредственно перехода в приложение, необходимо использовать боковую панель в левой части личного кабинета (далее – ЛК).",182,24,45.5,"[ 4.4035409e-03 -2.7252892e-02 -1.7009145e-02 ... -2.3862043e-02
  2.8068635e-03  8.4611573e-05]"
1777.0,Создание нового приложения осуществляется нажатием на image рядом с наименованием проекта.Чтобы перейти в приложение следует нажать на соответствующую иконку:,158,19,39.5,"[ 0.01442603 -0.0467435  -0.00531532 ... -0.02074357  0.00851515
 -0.01314561]"
1779.0,Проекты служат для группировки приложений.Максимально допустимое количество проектов и приложений на один проект ограничивается лицензиями пользователя.,152,16,38.0,"[ 0.00625913 -0.02712384 -0.02812012 ...  0.00330621 -0.01680146
 -0.00111111]"
1782.0,"После нажатия на image рядом с Фамилией и Именем пользователя ЛК откроется страница для ввода наименования нового проекта.Для завершения процесса создания нового проекта после ввода наименования требуется нажать на кнопку ""Сохранить"".",234,31,58.5,"[ 0.01276749 -0.03396455 -0.02519493 ... -0.02637819 -0.00244624
 -0.00615594]"
1787.0,"После нажатия на image рядом с наименованием проекта откроется страница для ввода наименования нового приложения.Для завершения процесса создания нового приложения после ввода наименования требуется нажать на кнопку ""Сохранить"".",228,28,57.0,"[ 0.01760538 -0.04708842 -0.01651847 ... -0.03261698  0.00265994
 -0.01404286]"
1803.0,"Первая вкладка предназначена для управления приложениями проекта.В имеющемся списке приложений проекта отображается тип лицензии, прикрепленной к каждому приложению и объем занимаемого дискового пространства от общего числа возможного объема при текущей лицензии.",263,31,65.75,"[ 0.02698468 -0.02973829 -0.0178316  ... -0.01500181 -0.01642748
 -0.00119291]"
1809.0,"1.Изменение статуса активности приложения при помощи смены положения переключателя, расположенного рядом с наименованием приложения.",132,14,33.0,"[ 0.03434897 -0.02352735 -0.00423496 ... -0.04358152  0.00842587
 -0.01485343]"
1811.0,"При переводе переключателя в неактивное положение Системой выведется следующее уведомление, при подтверждении которого неактивное приложение переместится в список приложений группы ""Приостановлено"":",198,21,49.5,"[ 0.02248346 -0.01427607 -0.00444491 ... -0.01959654 -0.00258931
 -0.0097021 ]"
1815.0,"При переводе переключателя в активное положение Системой выведется следующее уведомление, при подтверждении которого активное приложение переместится в список приложений группы ""Активно"":",187,21,46.75,"[ 0.04246204 -0.02065541 -0.01974607 ... -0.02481705  0.00844677
 -0.01137789]"
1819.0,"Если в течение 30 дней отсутствует активность при работе с приложением, его статус автоматически будет изменен на ""Приостановлено"".",131,18,32.75,"[ 0.00584581 -0.02663772 -0.00635247 ... -0.01281257 -0.00582388
  0.01244774]"
1824.0,"Если приложение было приостановлено (пользователем или автоматически после 30-дневного бездействия), и в течении 30 дней по нему не была проявлена активность, данное приложение будет удалено!",191,25,47.75,"[ 0.01831172 -0.03118426 -0.01692746 ... -0.0284513  -0.01363112
 -0.00843177]"
1825.0,"Когда приложение удаляется вследствие 30-дневного отсутствия активности после приостановки приложения, Система уведомляет об этом пользователя по адресу электронной почты.",171,19,42.75,"[ 0.01371911 -0.03232555 -0.0014024  ... -0.01460084 -0.02949641
 -0.02576868]"
1833.0,"Возможность добавления новых приложений зависит от ограничений лицензии пользователя.При превышении максимально допустимого количества приложений Система отобразит соответствующее уведомление, например:",202,19,50.5,"[ 0.00861289 -0.04195436 -0.01366945 ... -0.00692757 -0.02454237
  0.00777155]"
1837.0,При нажатии на кнопку данного уведомления откроется страница для связи с отделом продаж и контактной информацией компании GreenData.,132,18,33.0,"[-0.01323766 -0.03319609 -0.00767454 ... -0.0049163  -0.02993778
 -0.01095413]"
1839.0,"4.Копирование приложения при помощи нажатия на элемент ""Скопировать приложение"", расположенного под наименованием приложения.",125,13,31.25,"[ 0.03068342 -0.0167642  -0.01971928 ... -0.01507503 -0.01548866
 -0.02324074]"
1841.0,"При создании копии приложения копируемое приложение будет недоступно для всех пользователей в течении 5 минут, Система выведет соответствующее уведомление:",155,19,38.75,"[ 0.01814671 -0.02928682 -0.01446863 ... -0.00100397 -0.01176743
 -0.02783367]"
1845.0,"Нажатием на кнопку отмены процесс копирования приложения будет отменен, при подтверждении действия копирования откроется форма, в которой указывается наименование для копии приложения и посредством выпадающего списка и выбирается проект, в который необходимо добавить создаваемую копию.Для завершения процесса следует нажать кнопку ""Копировать"".",345,41,86.25,"[ 0.0140401  -0.02715824 -0.03105069 ... -0.03671568 -0.01118368
 -0.02172331]"
1850.0,"Необходимо учитывать количество максимально допустимых приложений на выбираемом проекте, которое зависит от условий используемой лицензии.При выборе проекта, в котором достигнут лимит приложений, Система выведет соответствующее уведомление по аналогии создания нового приложения.",279,31,69.75,"[-0.00023699 -0.04644573 -0.02815234 ... -0.01440065 -0.01357788
  0.01446839]"
1851.0,"При выборе проекта также имеется возможность создания нового, при условии, что лимит по количеству проектов не достигнут.",121,17,30.25,"[-0.01946699 -0.04890415 -0.01458752 ... -0.00689501 -0.0117294
 -0.00352493]"
1855.0,"При нажатии на элемент ""Добавить новый"" откроется модальное окно для ввода наименования нового проекта, для завершения процесса создания проекта следует нажать на кнопку ""Добавить"".",181,24,45.25,"[ 0.02266846 -0.03534744 -0.01883637 ... -0.02435189 -0.0199987
 -0.01738584]"
1858.0,"При достижении лимита по количеству проектов элемент добавления нового проекта будет неактивен, рядом с ним появится иконка, при наведении курсора мыши на которую отобразится соответствующее информационное сообщение.",216,27,54.0,"[ 0.01364415 -0.03100452 -0.01567538 ... -0.00570323 -0.02711478
 -0.00395068]"
1862.0,"Процесс копирования приложения демонстрируется индикатором загрузки рядом с наименованием нового приложения, при этом статус активности копируемого и нового приложений отображается, как приостановленное.",203,22,50.75,"[ 0.04478084 -0.03888657 -0.03766711 ... -0.02666913  0.01176287
 -0.01907192]"
1870.0,"5.Выбор лицензии из приобретенных ранее (подробнее в статье ""Лицензирование"") путем нажатия на ""Выбрать лицензию"".После данного действия откроется модальное окно, в котором представлен список приобретенных заранее лицензий, разделенный на две группы: ""Непривязанные лицензии"" и ""Привязанные лицензии"", с указанием:",314,37,78.5,"[ 0.0213201  -0.0231625  -0.02309971 ... -0.01621155 -0.03267892
 -0.01937664]"
1884.0,"При выборе лицензии из группы ""Привязанные лицензии"" Система отобразит предупреждение о том, что лицензия уже привязана к другому приложению, и в случае привязывания данной лицензии приложение, от которого лицензия будет откреплена, перестанет работать.",253,33,63.25,"[ 0.00044651 -0.01449864 -0.03055953 ... -0.00551236 -0.0139749
 -0.01119325]"
1886.0,"При нажатии на кнопку отмены лицензия останется привязанной к прежнему приложению, после нажатия на кнопку ""Всё равно привязать"" лицензия будет привязана к текущему приложению, при этом процесс открепления лицензии займет около 5 минут, после чего прежнее приложение станет неактивно.",284,39,71.0,"[ 0.00814719 -0.01489756 -0.01368841 ... -0.02971245 -0.02238745
 -0.00661406]"
1890.0,"При выборе лицензии для привязки к приложению не отображаются лицензии со статусом ""Архивная"" и ""Community Edition"", а также лицензии с истекшим сроком действия.",161,23,40.25,"[ 0.02249794 -0.03301173 -0.02299543 ...  0.00192549 -0.01854739
 -0.0103418 ]"
1893.0,При покупке и привязке лицензии Standart или Enterprise к приложению с лицензией Community Edition право на использование лицензии Community Edition будет утрачено безвозвратно.,177,23,44.25,"[ 0.02575264 -0.02937958 -0.01165622 ... -0.0042295  -0.05277632
  0.01508828]"
1895.0,"На второй вкладке ""Настройка проекта"" при нажатии на иконку ""редактирования"" можно изменить наименование проекта.Для удаления проекта следует нажать на соответствующую надпись в нижней части страницы данной вкладки.",215,27,53.75,"[ 0.0384851  -0.02024654 -0.0210571  ... -0.01854436 -0.00609203
 -0.02650611]"
1899.0,"При удалении проекта система выдаст предупреждение, в котором требуется ввести название удаляемого проекта и нажать на кнопку ""Да, удалить проект"".",147,20,36.75,"[ 0.00779395 -0.03066802 -0.02679644 ... -0.00733264 -0.00608754
 -0.01162259]"
1901.0,Проект и все связанные с ним приложения будут удалены без возможности восстановления.Вся информация будет стерта безвозвратно.,126,16,31.5,"[ 0.02234173 -0.02067547 -0.01992918 ...  0.01382776 -0.02136292
  0.0108227 ]"
1905.0,"На третьей вкладке ""Команда проекта"" обозначено количество пользователей проекта, а также представлена таблица с указанием пользовательских данных, таких как ФИО, E-mail и занимаемой в проекте роли.",198,26,49.5,"[ 0.01875395 -0.02872186 -0.04826036 ...  0.00864165 -0.01548345
 -0.01685881]"
1907.0,"По умолчанию в таблице отображаются данные 10 пользователей.Для просмотра большего количества участников следует нажать на элемент image, расположенный в нижней части таблицы.",175,22,43.75,"[ 0.01320215 -0.03074397 -0.04243677 ... -0.00601322 -0.01301522
  0.01447648]"
1912.0,"Перечень пользователей может быть отсортирован в алфавитном порядке по возрастанию/убыванию по каждому из столбцов.Для этого следует нажать на иконку сортировки, расположенную правее наименования заголовка столбца.",214,25,53.5,"[ 0.03257128 -0.02775787 -0.03211873 ... -0.00904085 -0.0261057
  0.00186369]"
1920.0,"Для удаления пользователя из проекта необходимо навести курсор мыши на строку данных пользователя, после чего в правой части отобразится иконка удаления.После нажатия на иконку удаления Система выведет модальное окно для подтверждения действия.",244,32,61.0,"[ 0.02188864 -0.02252377 -0.02460682 ...  0.00530815 -0.01915474
 -0.02792417]"
1924.0,"При нажатии на кнопку ""Подтвердить"" пользователь будет удален из проекта, при нажатии кнопки ""Отмена"" пользователь останется в проекте.",135,18,33.75,"[ 0.00844931 -0.00966561 -0.01962853 ...  0.00011483 -0.01183465
  0.00127984]"
1931.0,"При удалении собственного профиля из проекта с ролью ""Владелец"" Система выведет модальное окно для передачи прав на проект другому пользователю.",144,20,36.0,"[ 0.01494565 -0.01915547 -0.02739579 ... -0.00970135 -0.00836691
 -0.01490759]"
1933.0,"Для этого вводится наименование проекта и выбирается новый владелец проекта из выпадающего списка.Действие подтверждается нажатием на кнопку ""Да, передать управление"".",167,20,41.75,"[-0.00071142 -0.0378893  -0.02844647 ... -0.0119342  -0.01057709
 -0.00854981]"
1937.0,"Если пользователь с ролью ""Владелец"" передает проект, где у какого-либо приложения привязана лицензия Community Edition, в таком случае Система предупреждает о том, что при передаче проекта лицензия Community Edition будет утрачена.Если владелец с этим согласен, то лицензия Community Edition отвязывается безвозвратно, проект передается новому владельцу.Если не согласен, то владельцем проекта остается текущий пользователь.",425,53,106.25,"[ 0.00566976 -0.01561604 -0.03318825 ... -0.00964011 -0.02864397
 -0.00691307]"
1943.0,"Для изменения роли пользователя необходимо навести курсор мыши на строку данных пользователя, после чего в правой части отобразится иконка редактирования.После нажатия на иконку редактирования рядом с ролью пользователя станет доступен выпадающий список:",254,32,63.5,"[ 0.03552197 -0.02120566 -0.0117284  ... -0.01080882 -0.01369211
 -0.00671465]"
1949.0,В зависимости от выбранной для замены роли Система выведет модальное окно с соответствующим предупреждением для подтверждения действия.,135,17,33.75,"[ 2.2872448e-02 -1.7997684e-02 -3.6699325e-02 ... -5.8791855e-05
 -2.5015242e-02 -1.9081172e-02]"
1951.0,"Например, при изменении роли пользователя с ""Администратор"" на ""Участник"" предупрждение будет содержать информацию о потере права на редактирование приложений и назначение ролей:",178,22,44.5,"[ 0.01872586 -0.0168675  -0.01302219 ...  0.00594389 -0.02478594
 -0.00322365]"
1955.0,"В случае замены роли другого участника на роль ""Владелец"" откроется модальное окно, в котором необходимо ввести наименование проекта и подтвердить действие нажатием на кнопку ""Да, передать права"".",196,27,49.0,"[ 0.00964307 -0.02848184 -0.0283469  ... -0.02438548 -0.00532455
 -0.00698995]"
1959.0,"После сохранения введенных настроек откроется модальное окно, в котором Система предупредит о том, что после подтверждения роль пользователя будет изменена на ""Администратор"".",175,22,43.75,"[ 0.02302978 -0.01396606 -0.04146897 ... -0.00844091 -0.00903316
 -0.02106209]"
1962.0,"Как уже сказано ранее, если у проекта имеются приложения с привязанными к ним лицензиями Community Edition, при передаче проекта эти лицензии будут безвозвратно утеряны.",169,24,42.25,"[-0.00959206 -0.0174803  -0.01554483 ... -0.00423234 -0.04259165
  0.00603052]"
1963.0,"Пользователи с ролью ""Администратор"" или ""Владелец"" могут добавлять других пользователей в проект путем отправки приглашения на E-mail либо предоставляя сгенерированную Системой ссылку при помощи кнопок, расположенных под перечнем пользователей команды проекта.",261,31,65.25,"[ 0.008088   -0.0254756  -0.01058485 ... -0.00156989  0.00378791
 -0.00708781]"
1965.0,"6.1.Отправка приглашения на электронный адрес осуществляется по кнопке image, после нажатия на которую откроется модальное окно для добавления E-mail приглашаемого пользователя и выбора предоставляемой ему роли в проекте (""Участник"" или ""Администратор"").",254,31,63.5,"[ 0.0086713  -0.02640268  0.01174985 ... -0.00178821 -0.02204058
 -0.01234187]"
1971.0,"При наличии активных приглашений по E-mail в нижней части страницы отображается ""Список ожидания"", в котором можно повторно отправить или отозвать приглашение при помощи выбора соответствующего значения.",203,26,50.75,"[ 0.01097002 -0.0409606  -0.00361102 ... -0.01447658 -0.00195372
 -0.0041124 ]"
1975.0,"Таблица с приглашенными пользователями обладает аналогичными таблице пользователей проекта возможностями по сортировке, фильтрации и поиску.",140,15,35.0,"[ 0.02853959 -0.02241116 -0.01673038 ...  0.00544441 -0.01616845
  0.0099434 ]"
1977.0,"6.2.Для массового добавления пользователей рекомендуется использовать приглашение по ссылке, которую можно получить после нажатия на кнопку image.",146,17,36.5,"[ 0.01156828 -0.00485826 -0.005803   ... -0.01231358 -0.02447132
  0.02516458]"
1982.0,"В открывшемся модальном окне предоставляется сгенерированная Системой ссылка-приглашение на текущий проект, которую следует скопировать (можно воспользоваться соответствующей иконкой) для дальнейшего распространения.",216,21,54.0,"[ 0.00401228 -0.01449926 -0.03809723 ... -0.01013624 -0.01114082
 -0.04642564]"
1984.0,"Ссылка активна в течение 24 часов после первого нажатия на кнопку image, срок окончания действия ссылки зафиксирован в нижней части модального окна.",148,22,37.0,"[ 0.02214338 -0.02344099 -0.00046886 ... -0.03080676 -0.03358782
 -0.0072522 ]"
1990.0,"При переходе по ссылке-приглашению для пользователя ранее не зарегистрированного в ЛК открывается окно регистрации, пользователю необходимо зарегистрироваться и авторизоваться в ЛК.",181,21,45.25,"[-0.0082454  -0.02878547 -0.01882799 ... -0.02198835 -0.01641005
 -0.00353104]"
1992.0,"Ранее зарегистрированный авторизованный пользователь после перехода по ссылке-приглашению становится участником проекта, при этом Система отобразит уведомление ""Вы вступили в проект"", либо ""Вы уже являетесь участником"", если пользователь уже являлся участником проекта.",269,31,67.25,"[-0.00038722 -0.04422237 -0.0200791  ... -0.01546334 -0.02856762
 -0.00955973]"
2011.0,"наименование проекта выбранного приложения, при нажатии на которое осуществится переход к странице с информацией по проекту;",124,16,31.0,"[ 0.00864663 -0.03601202 -0.03258207 ... -0.01568805 -0.00945204
 -0.00993534]"
2017.0,"Для изменения редактируемых параметров следует навести курсор на строку параметра и нажать на иконку ""редактирования"", после изменения данных необходимо нажать на кнопку image.",176,23,44.0,"[ 0.03008252 -0.03017527 -0.02244162 ... -0.03919949 -0.00349462
  0.00802573]"
2019.0,"Если к приложению прикреплена лицензия Community Edition или лицензия приложения отсутствует, под основной информацией о приложении располагается уведомление с предложением приобретения пользовательской лицензии для расширения возможностей по использованию Low-code платформы GreenData при помощи нажатия на кнопку image.",321,37,80.25,"[-0.02440831 -0.0317729  -0.02687041 ... -0.02324661 -0.01894705
  0.0025016 ]"
2023.0,"При наличии пользовательских лицензий, приобретенных ранее, пользователь может прикрепить одну из таких лицензий посредством нажатия на элемент ""Выбрать лицензию"" (процесс выбора пользовательских лицензий описан ранее).",219,25,54.75,"[ 0.01401469 -0.02197266 -0.02794653 ... -0.02552514 -0.03966071
 -0.00345018]"
2031.0,"""Скопировать приложение"" – при помощи данной опции создается дубликат приложения, процесс копирования описан ранее в разделе ""Управление приложениями"".",151,18,37.75,"[ 0.02566474 -0.02790577 -0.03182161 ... -0.03103469  0.026633
 -0.00718521]"
2033.0,"""Удалить приложение"".При удалении приложения Система выдаст предупреждение, в котором требуется ввести название удаляемого приложения и подтвердить действие нажатием на кнопку ""Да, удалить приложение"".",201,23,50.25,"[ 0.01603791 -0.0295327  -0.03849196 ... -0.02220665  0.00624998
 -0.00997121]"
2042.0,Для связи со специалистом отдела продаж по поводу получения расширенной информации по предлагаемым услугам необходимо в личном кабинете (далее – ЛК) нажать на элемент в нижнем левом углу страницы.,196,29,49.0,"[ 0.00375571 -0.02389529 -0.01285156 ... -0.04370624 -0.0280597
 -0.01725718]"
2046.0,"На странице отобразится форма для запроса обратной связи от специалистов GreenData.Заполнив форму обращения необходимо подтвердить согласие на обработку персональных данных и нажать на кнопку ""Отправить"".",204,25,51.0,"[-0.00955944 -0.01218076 -0.03100385 ... -0.01529497 -0.03194253
 -0.00222434]"
2050.0,"Рядом с данной формой представлены контактные данные для связи со специалистами ООО ""GreenData"", по которым можно обратиться по всем интересующим вопросам.",155,21,38.75,"[-0.00284661  0.00264279 -0.0486725  ... -0.00474009 -0.01496376
  0.00366601]"
2067.0,"Отобразится форма, в которой необходимо заполнить все поля, при необходимости прикрепить файлы, нажав на кнопку ""Добавить файлы"", после чего нажать на кнопку ""Отправить обращение"".",180,24,45.0,"[-0.00267218 -0.03168068 -0.03273433 ... -0.01991851 -0.03215385
  0.0073788 ]"
2071.0,"Для просмотра списка обращений в техподдержку необходимо нажать на аватар пользователя и выбрать в выпадающем меню опцию ""Обращения в техподдержку"".",148,20,37.0,"[ 0.00545769 -0.0280006  -0.01592648 ... -0.01139203 -0.00556715
 -0.0046758 ]"
2073.0,"Откроется страница, на которой помимо списка имеющихся обращений можно создать новое нажатием на кнопку ""Добавить обращение"".",125,16,31.25,"[ 0.00232786 -0.02723211 -0.01771026 ... -0.01643896  0.00888557
  0.00115425]"
2077.0,"Находясь в настройках профиля пользователя можно вернуться на главную страницу, нажав на ""Личный кабинет"" в шапке страницы.",123,17,30.75,"[ 0.02428436 -0.02673308 -0.01631529 ... -0.00979798 -0.00910384
 -0.01688546]"
2078.0,"Для получения консультации по иным вопросам необходимо связаться с технической поддержкой, нажав на нижний элемент страницы справа.",131,17,32.75,"[ 0.01146908 -0.01686903 -0.01091786 ... -0.01418851 -0.00906258
  0.00716515]"
2084.0,"В первом случае в личном кабинете откроется окно чата, во втором осуществится переход в приложение Telegram, где для начала общения с ботом GreenData следует нажать на кнопку ""Запустить"" .",188,29,47.0,"[ 0.02055101 -0.0239354  -0.01561712 ... -0.022585   -0.00695332
 -0.01254179]"
2088.0,"Чтобы иметь возможность использовать Telegram бот, необходимо наличие на устройстве пользователя приложения Telegram (ссылка для скачивания telegram.org).",154,17,38.5,"[ 0.02510456 -0.02121376 -0.02510323 ... -0.02973365 -0.04757681
 -0.00346415]"
2094.0,Переход в приложение может осуществляться участниками проекта непосредственно из ЛК.В данном случае авторизация выполняется автоматически.,138,15,34.5,"[ 0.00017822 -0.01075482 -0.00824559 ... -0.02180764 -0.01638388
  0.016381  ]"
2096.0,"При открытии приложения по ссылке открывается страница авторизации на стенде, на которой пользователь вводит логин и пароль от стенда в соответствующие поля и нажимает на кнопку ""Войти"".",186,27,46.5,"[ 0.01743551 -0.04782657 -0.02210125 ... -0.01819266  0.00976212
 -0.0149135 ]"
2100.0,Внешний вид и функционал страницы авторизации может быть изменен пользователем при настройке конструктора страницы входа.,121,15,30.25,"[ 0.037592   -0.01190168 -0.00139086 ... -0.00767611 -0.03107576
  0.00130697]"
2112.0,"Если платформа развернута как On-Premise решение, то есть на собственных серверах, пользователи проходят процесс аутентификации аналогично модели SaaS.",151,18,37.75,"[ 0.01526005 -0.030501   -0.03619869 ... -0.00148595 -0.02459838
  0.02069778]"
2114.0,В данном случае получение доступа к стенду также осуществляется при создании учетных записей пользователей или посредством их самостоятельной регистрации.,154,19,38.5,"[ 0.00709064 -0.03981718 -0.01091185 ... -0.01592954 -0.0093951
  0.00425077]"
2124.0,"После установки платформы и успешной авторизации пользователя, Система отобразит Стартовую страницу.С помощью манипуляторов (клавиатуры и компьютерной мыши) пользователь управляет элементами графического интерфейса и выполняет настройку платформы.",247,26,61.75,"[ 0.04628668 -0.03755505 -0.01829435 ... -0.01248048 -0.0073327
 -0.01454249]"
2153.0,"меню профиля пользователя, которое предназначено для точечной настройки Системы для конечного пользователя (например, для настройки оформления или смены пароля);",161,19,40.25,"[ 0.0350398  -0.02084908 -0.04503893 ... -0.0137155  -0.0020912
 -0.00946948]"
2162.0,"местоположение пользователя – геопозиция, которая устанавливается Системой автоматически при авторизации пользователя в приложении, и при необходимости может быть изменена.",172,19,43.0,"[ 0.02153759 -0.02897054 -0.02158063 ... -0.01574705 -0.02344729
 -0.00387212]"
2164.0,"Обратите внимание, выбор локали (языка интерфейса) и страна пребывания пользователя определяют в Системе формат по умолчанию для значений атрибутов типа:",153,20,38.25,"[ 0.01980593 -0.02330311 -0.04369574 ... -0.00275496 -0.03598856
 -0.01650986]"
2178.0,Главное меню представляет собой многоуровневый вертикальный список.Главное меню может дополняться необходимыми пунктами администратором Системы.Подробнее об этом.,162,16,40.5,"[ 3.2596704e-02 -2.6750702e-02 -2.5875878e-02 ... -6.5431702e-03
  6.9789843e-05  7.8438409e-03]"
2180.0,"В верхней части главного меню для стендов, развернутых в ранних версиях платформы, по умолчанию размещен пункт ""Новости"" или ""Лента новостей"".",142,20,35.5,"[ 0.03351111 -0.05082239 -0.03133695 ... -0.02289816  0.00786455
 -0.00895281]"
2185.0,отображать панель меню в сокращенном виде (только пиктограммы).Для этого необходимо нажать кнопку image внизу панели навигации.Иначе вид панели останется полным.,161,20,40.25,"[ 0.00404754 -0.02744208 -0.02101236 ... -0.00595442 -0.01595241
 -0.02278523]"
2199.0,"Возможность автоматического раскрытия меню в полноразмерный режим из сокращенного при наведении мыши учитывается системной настройкой ""Расширять главное меню при наведении мыши"".",178,21,44.5,"[ 0.02292385 -0.03199967 -0.02632976 ... -0.01825275 -0.00478497
 -0.01260109]"
2201.0,"Если пункт меню содержит раскрывающийся список (настроена иерархия пунктов меню), увидеть его можно по кнопке image.Свернуть пункт меню можно по кнопке image.",158,22,39.5,"[ 0.01728273 -0.04681977 -0.02186064 ... -0.01995635 -0.01281555
  0.00728341]"
2203.0,"Для быстрого нахождения пункта меню необходимо воспользоваться строкой поиска (строка с пиктограммой ""лупа"").Для удаления введенных символов в строке поиска в один клик – необходимо нажать ""х"".__",195,26,48.75,"[ 0.01975774 -0.01783978 -0.02518689 ... -0.02684061 -0.00666401
  0.02844539]"
2205.0,"Просмотр данных раздела в рабочей области Системы доступен после выбора необходимого пункта меню.Наименование выбранного раздела отображается в навигационной панели, которая предоставляет возможность возврата к ранее открытому разделу с помощью кнопки image.",258,31,64.5,"[ 0.01950136 -0.04071042 -0.03169629 ... -0.01773071 -0.02047839
 -0.00864384]"
2213.0,"Панель управления# (инструментов) располагается над рабочей областью и содержит функциональные кнопки, позволяющие пользователю выполнять операции с объектами Системы (Объекты системы).",185,20,46.25,"[ 0.0197976  -0.01099738 -0.05078623 ... -0.00573373  0.00978116
 -0.01949979]"
